Year,Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual_Average,Source
1979,DaNang,6885.0,6875.0,6905.0,6875.0,6885.0,6895.0,6725.0,6855.0,6945.0,7265.0,7315.0,7055.0,6956.666666666667,PSMSL
1980,DaNang,6935.0,6945.0,6795.0,6825.0,6855.0,6775.0,6785.0,6835.0,7165.0,7265.0,7275.0,7145.0,6966.666666666667,PSMSL
1981,DaNang,7105.0,6965.0,6875.0,6855.0,6895.0,6935.0,6885.0,6895.0,6935.0,7215.0,7305.0,7125.0,6999.166666666667,PSMSL
1982,DaNang,6855.0,6815.0,6745.0,6665.0,6775.0,6845.0,6815.0,6755.0,7015.0,7075.0,7085.0,7085.0,6877.5,PSMSL
1983,DaNang,6985.0,6825.0,6845.0,6765.0,6755.0,6775.0,6775.0,6845.0,6865.0,7235.0,7245.0,7095.0,6917.5,PSMSL
1984,DaNang,6985.0,6925.0,6845.0,6815.0,6855.0,6855.0,6755.0,6895.0,6845.0,7185.0,7195.0,7105.0,6938.333333333333,PSMSL
1985,DaNang,6925.0,6925.0,6755.0,6845.0,6785.0,6895.0,6775.0,6815.0,6975.0,7125.0,7165.0,7145.0,6927.5,PSMSL
1986,DaNang,6985.0,6925.0,6915.0,6805.0,6835.0,6795.0,6805.0,6965.0,7005.0,7195.0,7235.0,7095.0,6963.333333333333,PSMSL
1987,DaNang,6985.0,6885.0,6835.0,6835.0,6785.0,6835.0,6795.0,6845.0,6985.0,7025.0,7195.0,7125.0,6927.5,PSMSL
1988,DaNang,6965.0,6955.0,6935.0,6895.0,6815.0,6835.0,6805.0,6795.0,6925.0,7355.0,7225.0,7025.0,6960.833333333333,PSMSL
1989,DaNang,7055.0,6915.0,6905.0,6795.0,6885.0,6815.0,6855.0,6965.0,6945.0,7215.0,7155.0,7065.0,6964.166666666667,PSMSL
1990,DaNang,7055.0,6905.0,6835.0,6865.0,6875.0,6865.0,6885.0,6895.0,6995.0,7195.0,7225.0,7055.0,6970.833333333333,PSMSL
1991,DaNang,6975.0,6965.0,6855.0,6895.0,6815.0,6775.0,6785.0,6925.0,7055.0,7205.0,7165.0,7035.0,6954.166666666667,PSMSL
1992,DaNang,6905.0,6855.0,6815.0,6825.0,6845.0,6815.0,6825.0,6925.0,6995.0,7315.0,7135.0,6975.0,6935.833333333333,PSMSL
1993,DaNang,6925.0,6835.0,6865.0,6865.0,6785.0,6715.0,6775.0,6845.0,6975.0,7175.0,7125.0,7155.0,6920.0,PSMSL
1994,DaNang,6975.0,6915.0,6945.0,6865.0,6825.0,6845.0,6835.0,6855.0,7075.0,7165.0,7135.0,7135.0,6964.166666666667,PSMSL
1995,DaNang,7035.0,6955.0,6865.0,6845.0,6865.0,6785.0,6725.0,6835.0,7075.0,7245.0,7205.0,7185.0,6968.333333333333,PSMSL
1996,DaNang,7005.0,7055.0,6845.0,6935.0,6925.0,6765.0,6835.0,6855.0,7085.0,7275.0,7305.0,7125.0,7000.833333333333,PSMSL
1997,DaNang,7015.0,7015.0,6915.0,6865.0,6865.0,6865.0,6895.0,6905.0,7075.0,7045.0,7055.0,7045.0,6963.333333333333,PSMSL
1998,DaNang,6975.0,6895.0,6895.0,6795.0,6805.0,6815.0,6755.0,6785.0,6995.0,7155.0,7255.0,7215.0,6945.0,PSMSL
1999,DaNang,7065.0,6955.0,6965.0,6975.0,6925.0,6865.0,6845.0,6855.0,6955.0,7235.0,7335.0,7265.0,7020.0,PSMSL
2000,DaNang,7035.0,7005.0,6965.0,6885.0,6925.0,6855.0,6905.0,6895.0,7045.0,7245.0,7235.0,7165.0,7013.333333333333,PSMSL
2001,DaNang,7095.0,7035.0,6955.0,6945.0,6885.0,6845.0,6895.0,7015.0,7085.0,7205.0,7265.0,7405.0,7052.5,PSMSL
2002,DaNang,6985.0,6945.0,6885.0,6865.0,6895.0,6865.0,6885.0,6985.0,7085.0,7125.0,7225.0,7385.0,7010.833333333333,PSMSL
2003,DaNang,7005.0,6955.0,6945.0,6865.0,6885.0,6865.0,6825.0,6925.0,7105.0,7225.0,7225.0,7165.0,6999.166666666667,PSMSL
2004,DaNang,6985.0,6895.0,6955.0,6915.0,6875.0,6945.0,6865.0,6975.0,6965.0,7195.0,7125.0,7065.0,6980.0,PSMSL
2005,DaNang,6975.0,6905.0,6865.0,6805.0,6785.0,6785.0,6795.0,6835.0,7105.0,7205.0,7195.0,7475.0,6977.5,PSMSL
2006,DaNang,7055.0,6985.0,6925.0,6875.0,6875.0,6835.0,6845.0,7005.0,7075.0,7165.0,7135.0,7485.0,7021.666666666667,PSMSL
2007,DaNang,7065.0,6795.0,6945.0,6915.0,6875.0,6815.0,6795.0,6905.0,7045.0,7255.0,7345.0,7095.0,6987.5,PSMSL
2008,DaNang,7095.0,6995.0,6915.0,6925.0,7015.0,6865.0,6865.0,6905.0,7035.0,7175.0,7315.0,7205.0,7025.833333333333,PSMSL
2009,DaNang,7125.0,6925.0,6945.0,7025.0,6995.0,6945.0,6915.0,6905.0,7235.0,7285.0,7235.0,7125.0,7055.0,PSMSL
2010,DaNang,7025.0,6925.0,6935.0,6955.0,6895.0,6855.0,6845.0,7005.0,6955.0,7315.0,7335.0,7125.0,7014.166666666667,PSMSL
