time,stations,station_x_coordinate,station_y_coordinate,MSL
2014-01-01,0,24.089000000000002,34.827,0.049
2014-01-01,1,24.089000000000002,34.871,0.049
2014-01-01,2,26.902,35.369,0.049
2014-01-01,3,26.887,35.398,0.049
2014-01-01,4,26.96,35.427,0.049
2014-01-01,5,27.019000000000002,35.427,0.049
2014-01-01,6,26.946,35.383,0.049
2014-01-01,7,12.576,35.5,0.047
2014-01-01,8,12.620000000000001,35.5,0.046
2014-01-01,9,23.782,35.618,0.049
2014-01-01,10,23.811,35.544000000000004,0.049
2014-01-01,11,23.899,35.53,0.049
2014-01-01,12,23.987000000000002,35.53,0.049
2014-01-01,13,24.075,35.574,0.049
2014-01-01,14,24.148,35.588,0.049
2014-01-01,15,24.207,35.53,0.049
2014-01-01,16,24.25,35.457,0.049
2014-01-01,17,24.294,35.369,0.049
2014-01-01,18,24.382,35.369,0.049
2014-01-01,19,24.47,35.369,0.049
2014-01-01,20,24.558,35.383,0.049
2014-01-01,21,24.646,35.413000000000004,0.049
2014-01-01,22,24.734,35.427,0.049
2014-01-01,23,24.822,35.413000000000004,0.049
2014-01-01,24,24.91,35.427,0.049
2014-01-01,25,24.998,35.413000000000004,0.049
2014-01-01,26,25.071,35.376,0.049
2014-01-01,27,25.159,35.354,0.049
2014-01-01,28,25.247,35.339,0.049
2014-01-01,29,25.334,35.339,0.049
2014-01-01,30,25.422,35.31,0.049
2014-01-01,31,25.496000000000002,35.31,0.049
2014-01-01,32,25.583000000000002,35.325,0.049
2014-01-01,33,25.671,35.339,0.049
2014-01-01,34,25.759,35.325,0.049
2014-01-01,35,25.745,35.251,0.049
2014-01-01,36,25.73,35.164,0.049
2014-01-01,37,25.818,35.134,0.049
2014-01-01,38,25.891000000000002,35.178,0.049
2014-01-01,39,25.979,35.193,0.049
2014-01-01,40,26.067,35.237,0.049
2014-01-01,41,26.155,35.208,0.049
2014-01-01,42,26.213,35.251,0.049
2014-01-01,43,26.301000000000002,35.31,0.049
2014-01-01,44,26.287,35.237,0.049
2014-01-01,45,26.301000000000002,35.164,0.049
2014-01-01,46,26.272000000000002,35.076,0.049
2014-01-01,47,26.199,35.017,0.049
2014-01-01,48,26.125,35.002,0.049
2014-01-01,49,26.038,35.017,0.049
2014-01-01,50,25.95,35.032000000000004,0.049
2014-01-01,51,25.862000000000002,35.017,0.049
2014-01-01,52,25.759,35.002,0.049
2014-01-01,53,25.671,35.017,0.049
2014-01-01,54,25.583000000000002,35.002,0.049
2014-01-01,55,25.496000000000002,34.988,0.049
2014-01-01,56,25.408,34.988,0.049
2014-01-01,57,25.32,34.988,0.049
2014-01-01,58,25.232,34.958,0.049
2014-01-01,59,25.144000000000002,34.944,0.049
2014-01-01,60,25.056,34.944,0.049
2014-01-01,61,24.968,34.929,0.049
2014-01-01,62,24.88,34.929,0.049
2014-01-01,63,24.778000000000002,34.929,0.049
2014-01-01,64,24.749,34.988,0.049
2014-01-01,65,24.734,35.076,0.049
2014-01-01,66,24.646,35.09,0.049
2014-01-01,67,24.558,35.12,0.049
2014-01-01,68,24.485,35.149,0.049
2014-01-01,69,24.397000000000002,35.178,0.049
2014-01-01,70,24.309,35.178,0.049
2014-01-01,71,24.221,35.193,0.049
2014-01-01,72,24.133,35.193,0.049
2014-01-01,73,24.031,35.193,0.049
2014-01-01,74,23.958000000000002,35.222,0.049
2014-01-01,75,23.87,35.237,0.049
2014-01-01,76,23.782,35.237,0.049
2014-01-01,77,23.694,35.237,0.049
2014-01-01,78,23.591,35.237,0.049
2014-01-01,79,23.533,35.295,0.049
2014-01-01,80,23.533,35.383,0.049
2014-01-01,81,23.562,35.471000000000004,0.049
2014-01-01,82,23.577,35.559,0.049
2014-01-01,83,23.633,35.61,0.049
2014-01-01,84,23.708000000000002,35.647,0.049
2014-01-01,85,23.782,35.662,0.049
2014-01-01,86,34.094,35.383,0.045
2014-01-01,87,34.036,35.31,0.046
2014-01-01,88,33.948,35.295,0.046
2014-01-01,89,33.918,35.222,0.046
2014-01-01,90,33.933,35.149,0.046
2014-01-01,91,33.992,35.076,0.046
2014-01-01,92,34.065,35.017,0.046
2014-01-01,93,34.062,34.965,0.046
2014-01-01,94,33.962,34.988,0.046
2014-01-01,95,33.889,34.958,0.046
2014-01-01,96,33.801,34.958,0.047
2014-01-01,97,33.713,34.973,0.047
2014-01-01,98,33.64,34.915,0.047
2014-01-01,99,33.625,34.841,0.047
2014-01-01,100,33.538000000000004,34.797000000000004,0.047
2014-01-01,101,33.45,34.768,0.048
2014-01-01,102,33.376,34.724000000000004,0.048
2014-01-01,103,33.289,34.709,0.048
2014-01-01,104,33.201,34.695,0.048
2014-01-01,105,33.098,34.695,0.048
2014-01-01,106,33.025,34.651,0.048
2014-01-01,107,33.01,34.578,0.049
2014-01-01,108,32.922000000000004,34.592,0.049
2014-01-01,109,32.878,34.666000000000004,0.049
2014-01-01,110,32.791000000000004,34.666000000000004,0.049
2014-01-01,111,32.703,34.636,0.049
2014-01-01,112,32.615,34.666000000000004,0.049
2014-01-01,113,32.527,34.695,0.049
2014-01-01,114,32.454,34.724000000000004,0.049
2014-01-01,115,32.395,34.783,0.049
2014-01-01,116,32.351,34.856,0.049
2014-01-01,117,32.307,34.944,0.048
2014-01-01,118,32.292,35.032000000000004,0.048
2014-01-01,119,32.307,35.076,0.048
2014-01-01,120,32.395,35.046,0.048
2014-01-01,121,32.468,35.076,0.048
2014-01-01,122,32.527,35.149,0.047
2014-01-01,123,32.6,35.178,0.047
2014-01-01,124,32.703,35.178,0.047
2014-01-01,125,32.791000000000004,35.164,0.047
2014-01-01,126,32.864,35.164,0.047
2014-01-01,127,32.922000000000004,35.237,0.047
2014-01-01,128,32.937,35.325,0.047
2014-01-01,129,32.952,35.383,0.046
2014-01-01,130,33.04,35.369,0.046
2014-01-01,131,33.127,35.369,0.046
2014-01-01,132,33.215,35.354,0.046
2014-01-01,133,33.303,35.339,0.046
2014-01-01,134,33.391,35.339,0.046
2014-01-01,135,33.479,35.339,0.046
2014-01-01,136,33.582,35.354,0.046
2014-01-01,137,33.669000000000004,35.369,0.046
2014-01-01,138,33.743,35.398,0.046
2014-01-01,139,33.831,35.413000000000004,0.046
2014-01-01,140,33.918,35.427,0.045
2014-01-01,141,34.006,35.457,0.045
2014-01-01,142,34.094,35.5,0.045
2014-01-01,143,34.167,35.544000000000004,0.045
2014-01-01,144,34.255,35.574,0.045
2014-01-01,145,34.329,35.588,0.045
2014-01-01,146,34.417,35.632,0.044
2014-01-01,147,34.504,35.662,0.044
2014-01-01,148,34.578,35.676,0.044
2014-01-01,149,34.519,35.618,0.044
2014-01-01,150,34.446,35.588,0.044
2014-01-01,151,34.373,35.53,0.045
2014-01-01,152,34.285000000000004,35.486000000000004,0.045
2014-01-01,153,34.211,35.442,0.045
2014-01-01,154,27.166,35.427,0.049
2014-01-01,155,27.092000000000002,35.442,0.048
2014-01-01,156,27.107,35.5,0.049
2014-01-01,157,27.078,35.574,0.048
2014-01-01,158,27.107,35.647,0.048
2014-01-01,159,27.151,35.72,0.048
2014-01-01,160,27.18,35.808,0.048
2014-01-01,161,27.224,35.779,0.048
2014-01-01,162,27.195,35.691,0.048
2014-01-01,163,27.18,35.618,0.048
